ID,Username,Author ID,Date,Time,Retweets,Favorites,Text,Mentions,Hashtags,Permalink,URL
20260830171897856,truebid,45909612,2010-12-30,05:02,0,0,"""hahaha you're a spazz #thesimpsons""",-,#thesimpsons,https://twitter.com/truebid/status/20260830171897856,-
20257250153078784,abbsterocity,43650286,2010-12-30,04:47,0,0,""""This creamed corn tastes like creamed crap." #thesimpsons""",-,#thesimpsons,https://twitter.com/abbsterocity/status/20257250153078784,-
20256060124168192,lucastrot92,199435900,2010-12-30,04:43,0,0,"""bue me voi parctikr i a ver #thesimpsons .. #twitterpause""",-,#thesimpsons #twitterpause,https://twitter.com/lucastrot92/status/20256060124168192,-
20248065092882432,emou,15797933,2010-12-30,04:11,0,0,"""I am watching The Simpsons http://bit.ly/er6g7k #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/emou/status/20248065092882432,-
20241054003363841,sharjem,15649296,2010-12-30,03:43,0,0,"""Hahahaha! DJs discover Usher & will.i.am probably ripped off@HomerJSimpson: http://bit.ly/fDpmj6 #thesimpsons""",@HomerJSimpson,#thesimpsons,https://twitter.com/sharjem/status/20241054003363841,-
20238957233049600,corinnakuehn,115456575,2010-12-30,03:35,0,0,"""Quickly trying to read what Bart writes on the blackboard before it goes. #TheSimpsons""",-,#TheSimpsons,https://twitter.com/corinnakuehn/status/20238957233049600,-
20237986624966656,Colin_Middleton,20166631,2010-12-30,03:31,0,0,"""Sadly the Christopher walken film showing on movies4men titled "McBAIN" is not him playing the character from the #thesimpsons""",-,#thesimpsons,https://twitter.com/Colin_Middleton/status/20237986624966656,-
20236644669980672,unkn0wnvariable,15332277,2010-12-30,03:26,0,0,""""I used to be with it, then they changed what it was. Now what I'm with isn't it and what's it seems weird and scary to me." #TheSimpsons""",-,#TheSimpsons,https://twitter.com/unkn0wnvariable/status/20236644669980672,-
20231170990022656,twelveandahalf DEOREM,178360775,2010-12-30,03:04,0,0,"""@DEOREM @charlomorgo "Oh my God, space aliens! Don't eat me, I have a wife and kids! Eat them!" #TheSimpsons""",@DEOREM @charlomorgo,#TheSimpsons,https://twitter.com/twelveandahalf/status/20231170990022656,-
20225404988039168,SweetLadyJess,27571462,2010-12-30,02:41,0,0,"""I am watching The Simpsons http://bit.ly/eO0G41 #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/SweetLadyJess/status/20225404988039168,-
